FSC-A,FSC-H,SSC-A,SSC-H,Live/ Dead,IgM,CD27,HLA-DR,CD19,CD24,CD23,CD21,Time,file_name,event_id
177087.1875,144793,143244.6406,124553,1813.900024,404.5500183,260.3999939,1450.800049,467.7900085,762.5999756,542.8399658,5081.540039,97.5,Bcells2,973_Bcells2
28027.5,27623,9550.639648,9731,20.40000153,0,70.68000031,-61.38000107,66.02999878,152.5200043,28.69999886,409.1799927,98.09960938,Bcells2,979_Bcells2
68492.17969,64715,34569.03906,31503,212.5,119.0400009,114.3899994,72.54000092,-527.3099976,59.04000092,-95.94000244,503.4799805,99.89941406,Bcells2,998_Bcells2
180195.1875,145571,114459.8359,92295,2699.600098,508.7099915,405.480011,4283.580078,1096.469971,851.9799805,927.4199829,8217.219727,100,Bcells2,1000_Bcells2
119052.6797,100147,57258.96094,52951,1108.400024,229.7100067,305.9700012,490.1100159,264.1199951,374.7399902,291.1000061,4851.120117,100.2998047,Bcells2,1003_Bcells2
246232.7813,184458,156995.5156,128270,3243.600098,846.2999878,587.7600098,71834.13281,18889.23047,1547.339966,8489.459961,5052.02002,103.5996094,Bcells2,1026_Bcells2
55265.42188,41711,85042.32031,67487,1870.850098,404.5500183,2038.560059,1075.079956,795.1500244,504.2999878,116.4400024,3304.599854,107.0996094,Bcells2,1053_Bcells2
73556.74219,64598,67395.67969,62354,31773.85156,316.2000122,801.6600342,2324.070068,716.0999756,241.8999939,363.2600098,3158.639893,107.2001953,Bcells2,1054_Bcells2
154956.7344,112431,143118.7969,111499,3992.450195,563.5800171,456.6300049,3617.699951,752.3699951,990.5599976,854.4400024,9439.019531,110.7001953,Bcells2,1089_Bcells2
141764.0156,116335,62345.35938,56283,725.9000244,139.5,315.269989,901.1699829,232.5,0,96.76000214,73.80000305,111.5,Bcells2,1097_Bcells2
134346.2656,116319,50412.55859,45531,-408,324.5700073,1399.650024,1172.72998,448.2600098,63.13999939,-30.34000015,67.23999786,112.2998047,Bcells2,1100_Bcells2
129074.5,115522,51160.55859,47798,683.4000244,312.480011,103.2300034,212.0400085,-86.48999786,227.9599915,127.0999985,3485,112.7001953,Bcells2,1106_Bcells2
29643.66016,21619,22630.08008,17107,668.9500122,49.29000092,-23.25,-13.94999981,59.52000046,145.9599915,61.5,870.0200195,113,Bcells2,1108_Bcells2
182232.4063,142359,141982.7188,120947,3136.5,441.75,239.0099945,1298.280029,125.5500031,1140.619995,423.9400024,8929.799805,113.5,Bcells2,1115_Bcells2
133304.3438,115939,45544.39844,41891,153.8500061,272.4899902,1193.190063,797.9400024,437.1000061,24.60000038,200.0800018,56.57999802,114.0996094,Bcells2,1126_Bcells2
129427.4844,114231,46862.64063,43827,-303.4500122,134.8500061,73.47000122,172.0500031,236.2200012,-72.15999603,99.22000122,-55.75999832,114.0996094,Bcells2,1127_Bcells2
140846.4219,123431,58897.51953,53703,-199.75,115.3199997,173.9100037,467.7900085,-225.0599976,35.25999832,70.51999664,132.8399963,117.0996094,Bcells2,1154_Bcells2
77880.5625,64076,53807.60156,49212,1703.400024,239.0099945,626.8200073,3501.449951,1163.430054,244.3600006,339.480011,247.6399994,117.5996094,Bcells2,1157_Bcells2
137116.0781,117519,74604.64063,67195,658.75,292.9500122,565.4400024,445.4700012,510.5700073,83.63999939,-33.61999893,158.2599945,118.7998047,Bcells2,1170_Bcells2
138909.1094,113992,60529.91797,50508,695.3000488,391.5299988,1561.469971,1408.02002,661.2299805,43.45999908,71.33999634,265.6799927,118.8994141,Bcells2,1172_Bcells2
